[12:42:52]  // PROGRAM IS STARTING // TODAY IS - [19.05.2023]
**********************************************************
[12:44:18]  // Reading queue by file...
[12:44:18]  // Push book in the queue
[12:44:18]  // Push book in the queue
[12:44:18]  // Push book in the queue
[12:44:18]  // Push book in the queue
[12:44:18]  // Push book in the queue
[12:44:22]  // Queue is printing...
[12:44:22]  // Get 1 book from the queue
[12:44:22]  // Get 2 book from the queue
[12:44:22]  // Get 3 book from the queue
[12:44:22]  // Get 4 book from the queue
[12:44:22]  // Get 5 book from the queue
[12:45:27]  // Push book in the queue
[12:45:40]  // Push book in the queue
[12:45:56]  // Push book in the queue
[12:46:14]  // Push book in the queue
[12:46:15]  // Queue is filled
[12:46:18]  // Queue is printing...
[12:46:18]  // Get 1 book from the queue
[12:46:18]  // Get 2 book from the queue
[12:46:18]  // Get 3 book from the queue
[12:46:18]  // Get 4 book from the queue
[12:47:11]  // Queue is sorting...
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Swap 1 and 2 books in queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Swap 3 and 4 books in queue
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Swap 2 and 3 books in queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 1 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Swap 1 and 2 books in queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 2 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:11]  // Get 3 book from the queue
[12:47:11]  // Get 4 book from the queue
[12:47:15]  // Queue is printing...
[12:47:15]  // Get 1 book from the queue
[12:47:15]  // Get 2 book from the queue
[12:47:15]  // Get 3 book from the queue
[12:47:15]  // Get 4 book from the queue
[12:48:4]  // Loading queue by file...
[12:48:4]  // Get 1 book from the queue
[12:48:4]  // Get 2 book from the queue
[12:48:4]  // Get 3 book from the queue
[12:48:4]  // Get 4 book from the queue
**********************************************************
[12:48:5]  // EXIT FROM THE PROGRAM
